rank,filename,score,tier,duration_s,whale_sustained,bio_richness,acoustic_diversity,humpback_coverage,cross_model_agreement,humpback_peak,yamnet_top_quality,flags
1,190806_3905.wav,67.61,CRITICAL,299.9,0.6929,0.7295,0.7143,0.2107,0.9,0.9435,0.7002,biological_audio|whale_species|humpback
2,190806_3826.wav,67.1,CRITICAL,299.9,0.6872,0.3842,1.0,0.505,0.9,0.9203,0.0,biological_audio|whale_species|humpback
3,190806_3811.wav,65.37,CRITICAL,299.9,0.6522,0.3513,0.8571,0.6522,0.9,0.9746,0.0,biological_audio|whale_species|humpback
4,190807_3970.wav,62.89,HIGH,299.9,0.2931,0.8957,0.7143,0.2475,0.9,0.8302,0.6924,biological_audio|whale_species|humpback
5,190807_3963.wav,60.41,HIGH,299.9,0.2334,0.994,0.5714,0.2308,0.9,0.7361,0.7593,biological_audio|whale_species|humpback
6,190806_3840.wav,60.16,HIGH,299.9,0.6099,0.2503,0.8571,0.4983,0.9,0.9667,0.0,biological_audio|whale_species|humpback
7,190806_3790.wav,59.34,HIGH,299.9,0.0902,0.4184,1.0,0.7124,0.9,0.997,0.0,biological_audio|whale_species|humpback
8,190807_4172.wav,58.76,HIGH,299.9,0.4946,0.6779,0.7143,0.0836,0.9,0.6959,0.5592,biological_audio|whale_species|humpback
9,190808_4237.wav,58.59,HIGH,299.9,0.2038,0.8728,0.5714,0.1873,0.9,0.8644,1.0,biological_audio|whale_species|humpback
10,201008_5856.wav,57.56,HIGH,299.9,0.8112,0.2011,0.7143,0.2375,1.0,0.8935,0.0,biological_audio|whale_species|humpback|marine_environment
11,190807_4150.wav,56.74,HIGH,299.9,0.1769,0.3523,0.8571,0.709,0.9,0.976,0.0,biological_audio|whale_species|humpback
12,190806_3898.wav,56.48,HIGH,299.9,0.6244,0.6863,0.5714,0.0301,0.9,0.443,0.5343,biological_audio|whale_species|humpback
13,190808_4251.wav,55.48,HIGH,299.9,0.2879,0.777,0.5714,0.0903,0.9,0.5795,1.0,biological_audio|whale_species|humpback
14,190808_4265.wav,54.24,HIGH,299.9,0.2471,0.6974,0.5714,0.214,0.9,0.8051,0.6381,biological_audio|whale_species|humpback
15,190807_3984.wav,53.27,HIGH,299.9,0.157,0.8737,0.4286,0.1773,0.9,0.7619,0.8235,biological_audio|whale_species|humpback
16,190807_4071.wav,52.08,HIGH,299.9,0.5298,0.387,0.4286,0.388,1.0,0.8701,0.0,biological_audio|whale_species|humpback|marine_environment
17,190807_4157.wav,51.73,HIGH,299.9,0.607,0.2082,0.5714,0.3946,0.9,0.9155,0.0,biological_audio|whale_species|humpback
18,190806_3797.wav,51.17,HIGH,299.9,0.2816,0.4032,0.5714,0.5151,0.9,0.9649,0.0,biological_audio|whale_species|humpback
19,190808_4229.wav,51.13,HIGH,299.9,0.1399,0.668,0.5714,0.1773,0.9,0.6168,0.8604,biological_audio|whale_species|humpback
20,190806_3919.wav,50.46,HIGH,299.9,0.1164,0.7313,0.5714,0.1405,0.9,0.5977,0.696,biological_audio|whale_species|humpback
21,190807_4201.wav,49.82,HIGH,299.9,0.0901,0.6477,0.5714,0.2375,0.9,0.7338,0.5811,biological_audio|whale_species|humpback
22,190806_3912.wav,49.23,HIGH,299.9,0.1602,0.5894,0.5714,0.1706,0.9,0.747,0.6027,biological_audio|whale_species|humpback
23,190807_3955.wav,49.07,HIGH,299.9,0.1244,0.6511,0.4286,0.2274,0.9,0.7668,0.8493,biological_audio|whale_species|humpback
24,190807_4121.wav,48.06,HIGH,299.9,0.6659,0.0,0.7143,0.3311,0.7,0.9974,0.0,whale_species|humpback|marine_environment
25,190806_3876.wav,48.05,HIGH,299.9,0.2123,0.5461,0.5714,0.0936,0.9,0.7773,0.5328,biological_audio|whale_species|humpback
26,190807_3977.wav,47.71,HIGH,299.9,0.1991,0.4549,0.5714,0.1973,0.9,0.7895,0.5592,biological_audio|whale_species|humpback
27,190808_4258.wav,47.47,HIGH,299.9,0.1231,0.5683,0.5714,0.107,0.9,0.6085,0.813,biological_audio|whale_species|humpback
28,190806_3818.wav,46.83,HIGH,299.9,0.0664,0.3186,0.5714,0.6355,0.9,0.9331,0.0,biological_audio|whale_species|humpback
29,190807_4208.wav,46.77,HIGH,299.9,0.1496,0.5494,0.5714,0.1237,0.9,0.6294,0.5721,biological_audio|whale_species|humpback
30,190807_4179.wav,46.25,HIGH,299.9,0.2269,0.4249,0.5714,0.1773,0.9,0.6852,0.4401,biological_audio|whale_species|humpback
31,190806_3927.wav,46.1,HIGH,299.9,0.0112,1.0,0.2857,0.1906,0.55,0.8106,1.0,biological_audio|humpback
32,190808_4244.wav,46.08,HIGH,299.9,0.0711,0.6962,0.5714,0.1906,0.55,0.7349,0.9048,biological_audio|humpback
33,190807_4078.wav,45.9,HIGH,299.9,0.0405,0.4542,0.7143,0.5719,0.55,0.9776,0.0,biological_audio|humpback
34,190808_4323.wav,45.86,HIGH,299.9,0.2408,0.2647,0.5714,0.2943,1.0,0.9808,0.0,biological_audio|whale_species|humpback|marine_environment
35,190807_4092.wav,45.41,HIGH,299.9,0.0424,0.2621,0.8571,0.612,0.55,0.9504,0.0,biological_audio|humpback
36,190808_4374.wav,45.26,HIGH,299.9,0.1269,0.2485,0.5714,0.5217,0.9,0.9999,0.0,biological_audio|whale_species|humpback
37,190807_4222.wav,45.16,HIGH,299.9,0.0335,0.8983,0.4286,0.1438,0.55,0.6506,0.8592,biological_audio|humpback
38,190807_4100.wav,45.05,HIGH,299.9,0.9252,0.0,0.5714,0.1706,0.6,0.712,0.0,whale_species|humpback
39,190806_3833.wav,44.96,MODERATE,299.9,0.1866,0.3063,0.4286,0.5418,0.9,0.9807,0.0,biological_audio|whale_species|humpback
40,201008_5863.wav,44.87,MODERATE,299.9,0.382,0.0971,0.7143,0.1672,0.9,0.998,0.0,biological_audio|whale_species|humpback
41,190807_3941.wav,44.45,MODERATE,299.9,0.0268,0.8125,0.4286,0.1037,0.55,0.8583,1.0,biological_audio|humpback
42,190807_4049.wav,44.13,MODERATE,299.9,0.1489,0.168,0.5714,0.5251,0.9,0.9966,0.0,biological_audio|whale_species|humpback
43,190807_4186.wav,43.75,MODERATE,299.9,0.0938,0.7373,0.2857,0.0635,0.9,0.8588,0.5331,biological_audio|whale_species|humpback
44,190807_4164.wav,43.2,MODERATE,299.9,0.2481,0.3231,0.4286,0.1873,0.9,0.9899,0.3879,biological_audio|whale_species|humpback
45,190806_3883.wav,42.89,MODERATE,299.9,0.4011,0.3469,0.4286,0.0736,0.9,0.4651,0.4854,biological_audio|whale_species|humpback
46,190806_3782.wav,42.41,MODERATE,299.9,0.2766,0.0,0.8571,0.398,0.6,0.9522,0.0,whale_species|humpback
47,190806_3804.wav,42.19,MODERATE,299.9,0.1119,0.5283,0.5714,0.0803,0.9,0.6505,0.0,biological_audio|whale_species|humpback
48,190807_4027.wav,42.01,MODERATE,299.9,0.099,0.5532,0.4286,0.087,0.9,0.6097,0.5088,biological_audio|whale_species|humpback
49,201010_5906.wav,41.66,MODERATE,299.9,0.0799,0.1797,0.5714,0.3579,1.0,0.9349,0.0,biological_audio|whale_species|humpback|marine_environment
50,201008_5849.wav,40.69,MODERATE,299.9,0.1804,0.223,0.4286,0.2776,1.0,0.9781,0.0,biological_audio|whale_species|humpback|marine_environment
51,190807_4107.wav,40.42,MODERATE,299.9,0.5497,0.0,0.7143,0.1204,0.6,0.8675,0.0,whale_species|humpback
52,190807_4193.wav,39.49,MODERATE,299.9,0.0589,0.6708,0.2857,0.2642,0.55,0.7721,0.6207,biological_audio|humpback
53,190808_4280.wav,39.42,MODERATE,299.9,0.0594,0.3952,0.7143,0.1839,0.55,0.5401,0.4674,biological_audio|humpback
54,190807_4006.wav,38.81,MODERATE,299.9,0.2906,0.1875,0.5714,0.1037,0.9,0.5526,0.0,biological_audio|whale_species|humpback
55,190807_4114.wav,38.33,MODERATE,299.9,0.6383,0.0,0.5714,0.1438,0.6,0.5959,0.0,whale_species|humpback
56,190808_4352.wav,37.64,MODERATE,299.9,0.6138,0.0,0.7143,0.0134,0.6,0.3757,0.0,whale_species|humpback
57,190807_4215.wav,37.5,MODERATE,299.9,0.0341,0.5891,0.4286,0.1037,0.55,0.6432,0.6891,biological_audio|humpback
58,190806_3934.wav,37.43,MODERATE,299.9,0.0,0.875,0.0,0.1605,0.55,0.8548,1.0,biological_audio|humpback
59,190808_4287.wav,37.27,MODERATE,299.9,0.0817,0.3856,0.7143,0.1271,0.55,0.6969,0.0,biological_audio|humpback
60,190807_3991.wav,36.48,MODERATE,299.9,0.0663,0.4214,0.4286,0.1839,0.55,0.9873,0.4425,biological_audio|humpback
61,190808_4301.wav,36.35,MODERATE,299.9,0.1913,0.2037,0.4286,0.1773,0.9,0.7437,0.0,biological_audio|whale_species|humpback
62,201010_5935.wav,36.17,MODERATE,299.9,0.5096,0.0,0.4286,0.1906,0.7,0.81,0.0,whale_species|humpback|marine_environment
63,190808_4273.wav,35.5,MODERATE,299.9,0.0799,0.3259,0.7143,0.1204,0.55,0.6083,0.0,biological_audio|humpback
64,201010_5928.wav,35.48,MODERATE,299.9,0.3525,0.0,0.5714,0.2843,0.6,0.7466,0.0,whale_species|humpback
65,190808_4294.wav,35.06,MODERATE,299.9,0.473,0.0,0.5714,0.1405,0.6,0.6134,0.0,whale_species|humpback
66,190807_4136.wav,32.93,MODERATE,299.9,0.0221,0.131,0.4286,0.5452,0.55,0.9745,0.0,biological_audio|humpback
67,201010_5921.wav,32.63,MODERATE,299.9,0.1126,0.0915,0.4286,0.0803,1.0,0.7536,0.0,biological_audio|whale_species|humpback|marine_environment
68,190807_3948.wav,31.96,MODERATE,299.9,0.0,0.6456,0.0,0.204,0.55,0.5476,1.0,biological_audio|humpback
69,190808_4309.wav,31.31,MODERATE,299.9,0.0315,0.1878,0.5714,0.194,0.55,0.8674,0.0,biological_audio|humpback
70,190807_4035.wav,29.92,MODERATE,299.9,0.0831,0.0878,0.2857,0.097,1.0,0.8656,0.0,biological_audio|whale_species|humpback|marine_environment
71,190807_4056.wav,29.05,MODERATE,299.9,0.086,0.0,0.4286,0.3244,0.6,0.9789,0.0,whale_species|humpback
72,190807_4013.wav,28.48,MODERATE,299.9,0.1577,0.0,0.5714,0.1204,0.6,0.6193,0.0,whale_species|humpback
73,190807_4128.wav,28.39,MODERATE,299.9,0.0063,0.1473,0.1429,0.6221,0.55,0.9751,0.0,biological_audio|humpback
74,190806_3761.wav,28.24,MODERATE,299.9,0.0953,0.0,0.4286,0.2943,0.6,0.8699,0.0,whale_species|humpback
75,190807_4143.wav,26.77,MODERATE,299.9,0.0489,0.1388,0.1429,0.5084,0.55,0.8575,0.0,biological_audio|humpback
76,190807_4042.wav,26.18,MODERATE,299.9,0.1056,0.0,0.4286,0.1472,0.7,0.5577,0.0,whale_species|humpback|marine_environment
77,201010_5942.wav,25.99,MODERATE,299.9,0.1757,0.0,0.4286,0.0502,0.7,0.5301,0.0,whale_species|humpback|marine_environment
78,190807_3999.wav,25.34,MODERATE,299.9,0.0431,0.1055,0.4286,0.1739,0.55,0.5882,0.0,biological_audio|humpback
79,190806_3775.wav,23.67,LOW,299.9,0.0,0.3377,0.0,0.3043,0.55,0.8208,0.0,biological_audio|humpback
80,190806_3869.wav,23.33,LOW,299.9,0.0242,0.1982,0.2857,0.1104,0.55,0.6514,0.0,biological_audio|humpback
81,190808_4366.wav,22.34,LOW,299.9,0.0131,0.0916,0.2857,0.1505,0.55,0.8046,0.0,biological_audio|humpback
82,190808_4345.wav,21.47,LOW,299.9,0.1082,0.0,0.2857,0.0569,0.6,0.747,0.0,whale_species|humpback
83,190806_3890.wav,21.32,LOW,299.9,0.0303,0.0892,0.2857,0.0803,0.55,0.7528,0.0,biological_audio|humpback
84,201010_5913.wav,21.18,LOW,299.9,0.0119,0.0,0.4286,0.2742,0.25,0.901,0.0,humpback
85,190806_3768.wav,20.61,LOW,299.9,0.0881,0.0,0.4286,0.1639,0.25,0.8129,0.0,humpback
86,190806_3862.wav,18.72,LOW,299.9,0.0068,0.0898,0.1429,0.1739,0.55,0.6147,0.0,biological_audio|humpback
87,190808_4359.wav,17.85,LOW,299.9,0.0476,0.0,0.2857,0.194,0.25,0.9045,0.0,humpback
88,190808_4330.wav,17.75,LOW,299.9,0.0869,0.0,0.2857,0.0067,0.6,0.2402,0.0,whale_species|humpback
89,201010_5885.wav,17.12,LOW,299.9,0.0313,0.0,0.2857,0.1237,0.35,0.7353,0.0,humpback|marine_environment
90,190806_3854.wav,16.92,LOW,299.9,0.0172,0.0929,0.1429,0.0669,0.55,0.5223,0.0,biological_audio|humpback
91,201010_5899.wav,14.63,LOW,299.9,0.0278,0.0,0.2857,0.0134,0.35,0.5824,0.0,humpback|marine_environment
92,190808_4338.wav,14.58,LOW,299.9,0.0494,0.0,0.4286,0.01,0.25,0.2234,0.0,humpback
93,190807_4064.wav,13.41,LOW,299.9,0.0318,0.0,0.2857,0.0468,0.25,0.5219,0.0,humpback
