rank,filename,score,tier,duration_s,perch,multispecies,humpback,naturelm,biolingual,dasheng,boat_score,flags,top_species
1,5783.040122170635_seg001.wav,54.09,HIGH,12.0,0.0701,0.0156,0.6111,0.5746,0.9739,1.0,0.0965,biological_audio|humpback|naturelm_bio|biolingual_bio|dasheng_complex,Orcinus orca (Orca)
2,190806_3761_seg005.wav,54.08,HIGH,30.0,0.0399,0.8333,0.5741,0.5741,0.3682,0.855,0.1574,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Orcinus orca (Orca)
3,190806_3761_seg007.wav,48.36,MODERATE,30.0,0.0643,1.0,0.6481,0.5742,0.0004,0.6145,0.2958,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Odontocete echolocation
4,190806_3761_seg010.wav,48.11,MODERATE,29.9,0.0813,1.0,0.6111,0.5743,0.0022,0.6178,0.4051,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Orcinus orca (Orca)
5,190806_3761_seg008.wav,48.08,MODERATE,30.0,0.0592,0.0586,0.6852,0.5745,0.925,0.5825,0.1186,biological_audio|humpback|naturelm_bio|biolingual_bio|dasheng_complex,Orcinus orca (Orca)
6,5783.040122170635_seg004.wav,45.69,MODERATE,30.0,0.0334,0.8333,0.537,0.5737,0.001,0.7631,0.8684,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Megaptera novaeangliae (Humpback whale)
7,5783.040122170635_seg002.wav,45.38,MODERATE,30.0,0.0585,0.8333,0.6481,0.5736,0.0005,0.6089,0.1476,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Megaptera novaeangliae (Humpback whale)
8,190806_3761_seg004.wav,45.32,MODERATE,30.0,0.08,0.8333,0.6481,0.5741,0.0006,0.5832,0.2388,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Orcinus orca (Orca)
9,190806_3761_seg002.wav,43.91,MODERATE,30.0,0.0884,0.8333,0.5741,0.5742,0.0061,0.5583,0.3478,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Orcinus orca (Orca)
10,5783.040122170635_seg007.wav,43.9,MODERATE,5.0,0.0304,0.2452,1.0,0.5741,0.0005,0.7839,1.0,biological_audio|humpback|naturelm_bio|dasheng_complex,Balaenoptera musculus (Blue whale)
11,190806_3761_seg006.wav,43.73,MODERATE,30.0,0.0726,0.6667,0.6852,0.5738,0.0003,0.6255,0.1867,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Odontocete echolocation
12,190806_3761_seg009.wav,40.62,MODERATE,30.0,0.0806,0.6667,0.5741,0.5753,0.0001,0.5402,0.3495,biological_audio|whale_species|humpback|naturelm_bio|dasheng_complex,Orcinus orca (Orca)
13,5783.040122170635_seg003.wav,40.16,MODERATE,30.0,0.0342,0.6667,0.087,0.5736,0.0483,1.0,0.2228,biological_audio|whale_species|naturelm_bio|dasheng_complex,Megaptera novaeangliae (Humpback whale)
14,190806_3761_seg003.wav,39.32,MODERATE,30.0,0.0548,0.2413,0.7593,0.5741,0.1625,0.5673,0.1302,biological_audio|humpback|naturelm_bio|dasheng_complex,Orcinus orca (Orca)
15,190806_3761_seg001.wav,37.01,MODERATE,30.0,0.0768,0.203,0.537,0.574,0.0939,0.7358,0.1519,biological_audio|humpback|naturelm_bio|dasheng_complex,Balaenoptera physalus (Fin whale)
16,5783.040122170635_seg008.wav,34.51,MODERATE,15.0,0.0329,0.6667,0.078,0.574,0.0008,0.7182,0.0604,biological_audio|whale_species|naturelm_bio|dasheng_complex,Megaptera novaeangliae (Humpback whale)
17,5783.040122170635_seg005.wav,27.33,LOW,5.0,0.0326,0.0,0.0098,0.575,0.0225,1.0,0.0128,biological_audio|naturelm_bio|dasheng_complex,Megaptera novaeangliae (Humpback whale)
18,5783.040122170635_seg006.wav,26.92,LOW,5.0,0.0312,0.0,0.0061,0.5739,0.0038,1.0,0.122,biological_audio|naturelm_bio|dasheng_complex,Megaptera novaeangliae (Humpback whale)
